top - 21:37:33 up 2 days,  2:31,  2 users,  load average: 1,11, 1,56, 1,43
Tasks: 381 total,   1 running, 380 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5,6 us,  3,5 sy,  0,0 ni, 90,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15800,3 total,    640,3 free,   8206,7 used,   6953,3 buff/cache
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6649,2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    211 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    212 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    213 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    230 root     -51   0       0      0      0 S   0,0   0,0   4:38.16 irq/53-+
    243 root      20   0       0      0      0 S   0,0   0,0   0:00.00 spi1
    310 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    341 root      20   0       0      0      0 S   0,0   0,0   0:14.49 jbd2/nv+
    342 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    394 root      19  -1  159448  91160  89160 S   0,0   0,6   7:25.72 systemd+
    467 root      20   0   27340   6968   4240 S   0,0   0,0   0:01.04 systemd+
    536 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    539 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    548 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    553 root     -51   0       0      0      0 S   0,0   0,0   0:52.47 irq/144+
    554 root     -51   0       0      0      0 S   0,0   0,0   0:20.29 irq/145+
    555 root     -51   0       0      0      0 S   0,0   0,0   0:15.67 irq/146+
    556 root     -51   0       0      0      0 S   0,0   0,0   0:18.39 irq/147+
    558 root     -51   0       0      0      0 S   0,0   0,0   0:12.33 irq/148+
    559 root     -51   0       0      0      0 S   0,0   0,0   0:18.18 irq/149+
    560 root     -51   0       0      0      0 S   0,0   0,0   0:16.35 irq/150+
    561 root     -51   0       0      0      0 S   0,0   0,0   0:19.81 irq/151+
    562 root     -51   0       0      0      0 S   0,0   0,0   0:13.22 irq/152+
    563 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/153+
    718 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    722 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
    723 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
    724 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
    775 _rpc      20   0    8108   4056   3620 S   0,0   0,0   0:00.13 rpcbind
    780 systemd+  20   0   14836   6808   6016 S   0,0   0,0   1:57.23 systemd+
    790 systemd+  20   0   29252  17096   9240 S   0,0   0,1   0:17.70 systemd+
    798 systemd+  20   0   89720   7700   6824 S   0,0   0,0   0:00.32 systemd+
    873 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    877 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   1006 root      20   0  243036   8308   6824 S   0,0   0,1   0:18.45 account+
   1007 root      20   0    2816   2008   1916 S   0,0   0,0   0:05.28 acpid
   1010 avahi     20   0    7632   4120   3672 S   0,0   0,0   0:02.38 avahi-d+
   1013 root      20   0   12028   3044   2788 S   0,0   0,0   0:00.25 cron
   1014 message+  20   0   11496   7576   4076 S   0,0   0,0   3:46.83 dbus-da+
   1016 root      20   0  264808  19188  14708 S   0,0   0,1   0:18.23 Network+
   1024 root      20   0   82804   4140   3708 S   0,0   0,0   0:09.46 irqbala+
   1027 root      20   0   43756  21908  12096 S   0,0   0,1   0:00.14 network+
   1032 root      20   0  237008  10912   7176 S   0,0   0,1   0:18.71 polkitd
   1037 root      20   0  242640   7820   6968 S   0,0   0,0   0:00.05 power-p+
   1039 syslog    20   0  222404   6216   4180 S   0,0   0,0   1:07.04 rsyslogd
   1044 root      20   0   11532   5676   4524 S   0,0   0,0   0:00.04 smartd
   1050 root      20   0 1770860  28372  10064 S   0,0   0,2   0:47.21 snapd
   1053 root      20   0  238916   6624   6104 S   0,0   0,0   0:00.03 switche+
   1057 root      20   0   48280   8232   6956 S   0,0   0,1   0:49.71 systemd+
   1058 root      20   0  278760  11408  10312 S   0,0   0,1   0:40.98 thermald
   1059 root      20   0  393884  13504  10000 S   0,0   0,1   0:01.04 udisksd
   1060 root      20   0   17920  11304   9216 S   0,0   0,1   0:02.59 wpa_sup+
   1065 clamav    20   0 1222580 983,1m  11024 S   0,0   6,2   0:52.23 clamd
   1069 avahi     20   0    7444   1416   1080 S   0,0   0,0   0:00.00 avahi-d+
   1149 root      20   0  318160  11680   9552 S   0,0   0,1   0:00.83 ModemMa+
   1170 root      20   0  254088  86144  15672 S   0,0   0,5   0:01.92 python3
